Product Name,Original Price,Current Price,Image URL,Source
Be Bold on Your Birthday,$54.99,$46.74,https://fyf.tac-cdn.net/images/products/small/TBC03-1-2.jpg?auto=webp&quality=60&width=650,Birthday Flowers
Rose & Lily Celebration with Birthday Balloon,$49.99,$42.49,https://fyf.tac-cdn.net/images/products/small/FYF-435.jpg?auto=webp&quality=60&width=650,Birthday Flowers
How Sweet It Is,$39.99,$33.99,https://fyf.tac-cdn.net/images/products/small/T46-1.jpg?auto=webp&quality=60&width=650,Birthday Flowers
The Most Appealing Autumn Arrangement,$49.99,$42.49,https://fyf.tac-cdn.net/images/products/small/TFL11-2.jpg?auto=webp&quality=60&width=650,Birthday Flowers
Festive Floral Garden with Birthday Balloon,$39.99,$33.99,https://fyf.tac-cdn.net/images/products/small/FYF-436.jpg?auto=webp&quality=60&width=650,Birthday Flowers
Fall Fragrance Bouquet,$49.99,$42.49,https://fyf.tac-cdn.net/images/products/small/T18T300.jpg?auto=webp&quality=60&width=650,Birthday Flowers
Cotton Candy,$44.99,$38.24,https://fyf.tac-cdn.net/images/products/small/T37-1.jpg?auto=webp&quality=60&width=650,Birthday Flowers
Rose & Lily Celebration with Bear & Chocolate,$74.99,$63.74,https://fyf.tac-cdn.net/images/products/small/FYF-443.jpg?auto=webp&quality=60&width=650,Birthday Flowers
Blue Skies & Sunshine with Birthday Balloon,$49.99,$42.49,https://fyf.tac-cdn.net/images/products/small/FYF-437.jpg?auto=webp&quality=60&width=650,Birthday Flowers
Cherry Blossom Bouquet,$59.99,$50.99,https://fyf.tac-cdn.net/images/products/small/T18M100.jpg?auto=webp&quality=60&width=650,Birthday Flowers
Happy Birthday Sunflower Garden,$49.99,$42.49,https://fyf.tac-cdn.net/images/products/small/FYF-447.jpg?auto=webp&quality=60&width=650,Birthday Flowers
You Are My Heart,$59.99,$50.99,https://fyf.tac-cdn.net/images/products/small/FYF-118.jpg?auto=webp&quality=60&width=650,Birthday Flowers
Pastel Daisy & Rose Delight,$39.99,$33.99,https://fyf.tac-cdn.net/images/products/small/FYF-134.jpg?auto=webp&quality=60&width=650,Birthday Flowers
Rose & Lily Celebration,$44.99,$38.24,https://fyf.tac-cdn.net/images/products/small/FYF-116.jpg?auto=webp&quality=60&width=650,Birthday Flowers
Special Moments Bouquet,$39.99,$33.99,https://fyf.tac-cdn.net/images/products/small/FYF-132.jpg?auto=webp&quality=60&width=650,Birthday Flowers
Purple Paradise Bouquet,$44.99,$38.24,https://fyf.tac-cdn.net/images/products/small/FTD-CCL.jpg?auto=webp&quality=60&width=650,Birthday Flowers
Florist Designed Birthday Bouquet,$39.99,$33.99,https://fyf.tac-cdn.net/images/products/small/FYF-BIR.jpg?auto=webp&quality=60&width=650,Birthday Flowers
Basket Full of Birthday Blooms,$49.99,$42.49,https://fyf.tac-cdn.net/images/products/small/FTD-D5-4894.jpg?auto=webp&quality=60&width=650,Birthday Flowers
Clear Blue Skies Bouquet,$49.99,$42.49,https://fyf.tac-cdn.net/images/products/small/TEV25-3.jpg?auto=webp&quality=60&width=650,Birthday Flowers
Wine Country Blossoms,$54.99,$46.74,https://fyf.tac-cdn.net/images/products/small/T21S100.jpg?auto=webp&quality=60&width=650,Birthday Flowers
Brilliant Birthday Blooms Bouquet,$49.99,$42.49,https://fyf.tac-cdn.net/images/products/small/T28-1.jpg?auto=webp&quality=60&width=650,Birthday Flowers
Festive Floral Garden,$34.99,$29.74,https://fyf.tac-cdn.net/images/products/small/FYF-125.jpg?auto=webp&quality=60&width=650,Birthday Flowers
Fields of Gold Mason Jar,$39.99,$33.99,https://fyf.tac-cdn.net/images/products/small/FYF-131.jpg?auto=webp&quality=60&width=650,Birthday Flowers
Blissfully Yours Arrangement,$49.99,$42.49,https://fyf.tac-cdn.net/images/products/small/TEV38-2.jpg?auto=webp&quality=60&width=650,Birthday Flowers
You're My Pumpkin,$64.99,$55.24,https://fyf.tac-cdn.net/images/products/small/T19H200.jpg?auto=webp&quality=60&width=650,Birthday Flowers
Purple Morning Melody,$49.99,$42.49,https://fyf.tac-cdn.net/images/products/small/T68-3.jpg?auto=webp&quality=60&width=650,Birthday Flowers
Forever Rose Bouquet,$44.99,$38.24,https://fyf.tac-cdn.net/images/products/small/FYF-121.jpg?auto=webp&quality=60&width=650,Birthday Flowers
Southern Peach Bouquet,$54.99,$46.74,https://fyf.tac-cdn.net/images/products/small/TEV55-6.jpg?auto=webp&quality=60&width=650,Birthday Flowers
Sunny Fall Pumpkin,$49.99,$42.49,https://fyf.tac-cdn.net/images/products/small/FYF-504.jpg?auto=webp&quality=60&width=650,Birthday Flowers
Dazzling Harvest Mason Jar,$39.99,$33.99,https://fyf.tac-cdn.net/images/products/small/FYF-506.jpg?auto=webp&quality=60&width=650,Birthday Flowers
Sweet Devotion,$59.99,$50.99,https://fyf.tac-cdn.net/images/products/small/FTD-14-M6.jpg?auto=webp&quality=60&width=650,Birthday Flowers
Birthday Balloons,$49.99,$42.49,https://fyf.tac-cdn.net/images/products/small/FYFBA-10.jpg?auto=webp&quality=60&width=650,Birthday Flowers
Bursting with Joy Bouquet,$44.99,$38.24,https://fyf.tac-cdn.net/images/products/small/FYF-893.jpg?auto=webp&quality=60&width=650,Birthday Flowers
Serenity and Bliss,$44.99,$38.24,https://fyf.tac-cdn.net/images/products/small/T55-2.jpg?auto=webp&quality=60&width=650,Birthday Flowers
Harvest Moon Bouquet,$44.99,$38.24,https://fyf.tac-cdn.net/images/products/small/FYF-510.jpg?auto=webp&quality=60&width=650,Birthday Flowers
Birthday Sprinkles Bouquet,$49.99,$42.49,https://fyf.tac-cdn.net/images/products/small/FTD-BD3.jpg?auto=webp&quality=60&width=650,Birthday Flowers
Pink Surprise Bouquet,$44.99,$38.24,https://fyf.tac-cdn.net/images/products/small/FTD-C12-4792.jpg?auto=webp&quality=60&width=650,Birthday Flowers
Rosy Birthday Floral Cake,$49.99,$42.49,https://fyf.tac-cdn.net/images/products/small/V5697.jpg?auto=webp&quality=60&width=650,Birthday Flowers
Simply Sweet,$49.99,$42.49,https://fyf.tac-cdn.net/images/products/small/FYF-B-2.jpg?auto=webp&quality=60&width=650,Birthday Flowers
Fragrant Fields Basket,$59.99,$50.99,https://fyf.tac-cdn.net/images/products/small/TEV70-9.jpg?auto=webp&quality=60&width=650,Birthday Flowers
Mermaid's Dream Bouquet,$44.99,$38.24,https://fyf.tac-cdn.net/images/products/small/TEV73-1.jpg?auto=webp&quality=60&width=650,Birthday Flowers
Raspberries & Crème,$59.99,$50.99,https://fyf.tac-cdn.net/images/products/small/TEV72-9.jpg?auto=webp&quality=60&width=650,Birthday Flowers
Butterscotch Blossoms Basket,$59.99,$50.99,https://fyf.tac-cdn.net/images/products/small/FTD-19-F3.jpg?auto=webp&quality=60&width=650,Birthday Flowers
Passionate Peaches,$49.99,$42.49,https://fyf.tac-cdn.net/images/products/small/FYF-138.jpg?auto=webp&quality=60&width=650,Birthday Flowers
Strawberry Lemonade Rose & Lily Bouquet,$39.99,$33.99,https://fyf.tac-cdn.net/images/products/small/FYF-126.jpg?auto=webp&quality=60&width=650,Birthday Flowers
Charming Garden of Love,$49.99,$42.49,https://fyf.tac-cdn.net/images/products/small/FYF-140.jpg?auto=webp&quality=60&width=650,Birthday Flowers
Pretty Please,$39.99,$33.99,https://fyf.tac-cdn.net/images/products/small/TEV12-4.jpg?auto=webp&quality=60&width=650,Birthday Flowers
Happy Blooms,$59.99,$50.99,https://fyf.tac-cdn.net/images/products/small/TEV68-3.jpg?auto=webp&quality=60&width=650,Birthday Flowers
You Are My Heart,$59.99,$50.99,https://fyf.tac-cdn.net/images/products/small/FYF-118.jpg?auto=webp&quality=60&width=650,Love Flowers
Rose & Lily Celebration,$44.99,$38.24,https://fyf.tac-cdn.net/images/products/small/FYF-116.jpg?auto=webp&quality=60&width=650,Love Flowers
Forever Rose Bouquet,$44.99,$38.24,https://fyf.tac-cdn.net/images/products/small/FYF-121.jpg?auto=webp&quality=60&width=650,Love Flowers
Florist Designed Love Bouquet,$39.99,$33.99,https://fyf.tac-cdn.net/images/products/small/FYF-LOV.jpg?auto=webp&quality=60&width=650,Love Flowers
Farm Fresh Red & White Blooms,$49.99,$42.49,https://fyf.tac-cdn.net/images/products/small/FYF-B-3.jpg?auto=webp&quality=60&width=650,Love Flowers
You Are My Heart Bouquet Bundle,$89.99,$76.49,https://fyf.tac-cdn.net/images/products/small/FYF-438.jpg?auto=webp&quality=60&width=650,Love Flowers
Deluxe Red Rose Bouquet,$64.99,$55.24,https://fyf.tac-cdn.net/images/products/small/FYF-237.jpg?auto=webp&quality=60&width=650,Love Flowers
Premium Red Rose Bouquet,$119.99,$101.99,https://fyf.tac-cdn.net/images/products/small/FYF-238.jpg?auto=webp&quality=60&width=650,Love Flowers
Hold My Heart Bouquet,$49.99,$42.49,https://fyf.tac-cdn.net/images/products/small/FTD-14-V3.jpg?auto=webp&quality=60&width=650,Love Flowers
Pink and Pretty,$44.99,$38.24,https://fyf.tac-cdn.net/images/products/small/FYF-120.jpg?auto=webp&quality=60&width=650,Love Flowers
Farm Fresh Sweetheart,$49.99,$42.49,https://fyf.tac-cdn.net/images/products/small/FYF-B-4.jpg?auto=webp&quality=60&width=650,Love Flowers
How Sweet It Is,$39.99,$33.99,https://fyf.tac-cdn.net/images/products/small/T46-1.jpg?auto=webp&quality=60&width=650,Love Flowers
Special Moments Bouquet,$39.99,$33.99,https://fyf.tac-cdn.net/images/products/small/FYF-132.jpg?auto=webp&quality=60&width=650,Love Flowers
Pastel Daisy & Rose Delight,$39.99,$33.99,https://fyf.tac-cdn.net/images/products/small/FYF-134.jpg?auto=webp&quality=60&width=650,Love Flowers
Fields of Gold Mason Jar,$39.99,$33.99,https://fyf.tac-cdn.net/images/products/small/FYF-131.jpg?auto=webp&quality=60&width=650,Love Flowers
Luxury Red Roses - One Dozen,$64.99,$55.24,https://fyf.tac-cdn.net/images/products/small/FYF-234.jpg?auto=webp&quality=60&width=650,Love Flowers
Rose & Lily Celebration with Bear & Chocolate,$74.99,$63.74,https://fyf.tac-cdn.net/images/products/small/FYF-443.jpg?auto=webp&quality=60&width=650,Love Flowers
Pink Surprise Bouquet,$44.99,$38.24,https://fyf.tac-cdn.net/images/products/small/FTD-C12-4792.jpg?auto=webp&quality=60&width=650,Love Flowers
Festive Floral Garden,$34.99,$29.74,https://fyf.tac-cdn.net/images/products/small/FYF-125.jpg?auto=webp&quality=60&width=650,Love Flowers
Red Romance Bouquet,$49.99,$42.49,https://fyf.tac-cdn.net/images/products/small/FYF-135.jpg?auto=webp&quality=60&width=650,Love Flowers
Madly in Love Bouquet,$69.99,$59.49,https://fyf.tac-cdn.net/images/products/small/T9-3.jpg?auto=webp&quality=60&width=650,Love Flowers
Love's Divine Bouquet - Long Stemmed Roses,$114.99,$97.74,https://fyf.tac-cdn.net/images/products/small/T11Z101.jpg?auto=webp&quality=60&width=650,Love Flowers
Purple Morning Melody,$49.99,$42.49,https://fyf.tac-cdn.net/images/products/small/T68-3.jpg?auto=webp&quality=60&width=650,Love Flowers
Blue Skies & Sunshine,$44.99,$38.24,https://fyf.tac-cdn.net/images/products/small/FYF-122.jpg?auto=webp&quality=60&width=650,Love Flowers
Luxury Red Roses - 18 Roses,$89.99,$76.49,https://fyf.tac-cdn.net/images/products/small/FYF-235.jpg?auto=webp&quality=60&width=650,Love Flowers
Luxury Red Roses - Two Dozen,$119.99,$101.99,https://fyf.tac-cdn.net/images/products/small/FYF-236.jpg?auto=webp&quality=60&width=650,Love Flowers
Eternally Yours,$49.99,$42.49,https://fyf.tac-cdn.net/images/products/small/FYF-231.jpg?auto=webp&quality=60&width=650,Love Flowers
Sunflower Hills,$49.99,$42.49,https://fyf.tac-cdn.net/images/products/small/FYF-136.jpg?auto=webp&quality=60&width=650,Love Flowers
Classic Red Rose & White Lily Bouquet,$59.99,$50.99,https://fyf.tac-cdn.net/images/products/small/FYF-232.jpg?auto=webp&quality=60&width=650,Love Flowers
Perfect Love Bouquet,$74.99,$63.74,https://fyf.tac-cdn.net/images/products/small/FTD-17-V3.jpg?auto=webp&quality=60&width=650,Love Flowers
Blissfully Yours Arrangement,$49.99,$42.49,https://fyf.tac-cdn.net/images/products/small/TEV38-2.jpg?auto=webp&quality=60&width=650,Love Flowers
Meadow Splendor,$44.99,$38.24,https://fyf.tac-cdn.net/images/products/small/FYF-127.jpg?auto=webp&quality=60&width=650,Love Flowers
Rose & Lily Celebration with Teddy Bear,$59.99,$50.99,https://fyf.tac-cdn.net/images/products/small/FYF-444.jpg?auto=webp&quality=60&width=650,Love Flowers
Lush Lavender Bouquet,$59.99,$50.99,https://fyf.tac-cdn.net/images/products/small/T17M200-2.jpg?auto=webp&quality=60&width=650,Love Flowers
Cotton Candy,$44.99,$38.24,https://fyf.tac-cdn.net/images/products/small/T37-1.jpg?auto=webp&quality=60&width=650,Love Flowers
Sweet Devotion,$59.99,$50.99,https://fyf.tac-cdn.net/images/products/small/FTD-14-M6.jpg?auto=webp&quality=60&width=650,Love Flowers
The Sweetest Hearts Bouquet,$49.99,$42.49,https://fyf.tac-cdn.net/images/products/small/FTD-17-V2.jpg?auto=webp&quality=60&width=650,Love Flowers
Strawberry Lemonade Rose & Lily Bouquet,$39.99,$33.99,https://fyf.tac-cdn.net/images/products/small/FYF-126.jpg?auto=webp&quality=60&width=650,Love Flowers
Pure Romance - 1 Dozen,$100.00,$85.00,https://fyf.tac-cdn.net/images/products/small/H-267.jpg?auto=webp&quality=60&width=650,Love Flowers
Cherry Blossom Bouquet,$59.99,$50.99,https://fyf.tac-cdn.net/images/products/small/T18M100.jpg?auto=webp&quality=60&width=650,Love Flowers
Love Medley Bouquet,$67.99,$57.79,https://fyf.tac-cdn.net/images/products/small/T400-2.jpg?auto=webp&quality=60&width=650,Love Flowers
Passionate Peaches,$49.99,$42.49,https://fyf.tac-cdn.net/images/products/small/FYF-138.jpg?auto=webp&quality=60&width=650,Love Flowers
Wild Orange Bouquet,$44.99,$38.24,https://fyf.tac-cdn.net/images/products/small/FYF-143.jpg?auto=webp&quality=60&width=650,Love Flowers
Sunny Sweetness,$44.99,$38.24,https://fyf.tac-cdn.net/images/products/small/FYF-911.jpg?auto=webp&quality=60&width=650,Love Flowers
Purple Elegance,$64.99,$55.24,https://fyf.tac-cdn.net/images/products/small/T17E100-2.jpg?auto=webp&quality=60&width=650,Love Flowers
Save the Last Dance,$54.99,$46.74,https://fyf.tac-cdn.net/images/products/small/TEV12-5.jpg?auto=webp&quality=60&width=650,Love Flowers
Classic Romance Red Roses,$64.99,$55.24,https://fyf.tac-cdn.net/images/products/small/TEV31-2-12.jpg?auto=webp&quality=60&width=650,Love Flowers
Loving Romance Bouquet,$59.99,$50.99,https://fyf.tac-cdn.net/images/products/small/FTD-17-V1.jpg?auto=webp&quality=60&width=650,Love Flowers
How Sweet It Is,$39.99,$33.99,https://fyf.tac-cdn.net/images/products/small/T46-1.jpg?auto=webp&quality=60&width=650,Just Because Flowers
